2026-06-03 12:43:15 | INFO | mocap_app.ui.main_window | Camera probe state: camera_probe_started
2026-06-03 12:43:21 | INFO | mocap_app.ui.main_window | Camera probe state: camera_probe_finished
2026-06-03 12:43:27 | INFO | mocap_app.workers.capture_worker | Live capture started with 1 source(s).
2026-06-03 12:43:29 | INFO | mocap_app.ui.main_window | Intrinsics solve state: intrinsics_solve_started
2026-06-03 12:43:29 | INFO | mocap_app.io.calibration_io | Calibration saved: C:\Users\Melle Poeckling\Documents\0A_QUEST_REPO\PhysioMotionTracker\HuCalib\calibration\current_calibration.json
2026-06-03 12:43:29 | INFO | mocap_app.ui.main_window | Calibration note: No observations available. Capture chessboard or Charuco samples first.
2026-06-03 12:43:29 | INFO | mocap_app.ui.main_window | Calibration note: Next step: solve synchronized multi-camera extrinsics from shared calibration captures.
2026-06-03 12:43:29 | INFO | mocap_app.ui.main_window | Calibration note: TODO: Add bundle-adjustment refinement over intrinsics+extrinsics.
2026-06-03 12:43:29 | INFO | mocap_app.ui.main_window | Calibration note: TODO: Add pairwise baseline diagnostics and epipolar residual plots.
2026-06-03 12:43:29 | INFO | mocap_app.ui.main_window | Calibration note: Triangulation assumption: camera rotation/translation must be world-to-camera extrinsics provided separately from intrinsics solve.
2026-06-03 12:43:29 | INFO | mocap_app.ui.main_window | Intrinsics solve state: intrinsics_solve_finished
2026-06-03 12:43:31 | INFO | mocap_app.workers.capture_worker | Live capture stopped.
2026-06-03 12:43:33 | INFO | mocap_app.workers.capture_worker | Live capture started with 1 source(s).
2026-06-03 12:43:52 | INFO | mocap_app.workers.capture_worker | Live capture stopped.
2026-06-03 12:43:54 | INFO | mocap_app.workers.capture_worker | Live capture started with 1 source(s).
2026-06-03 12:44:23 | INFO | mocap_app.workers.capture_worker | Live capture stopped.
2026-06-03 12:44:25 | INFO | mocap_app.workers.capture_worker | Live capture started with 1 source(s).
2026-06-03 12:48:53 | INFO | mocap_app.ui.main_window | Camera probe state: camera_probe_started
2026-06-03 12:49:00 | INFO | mocap_app.ui.main_window | Camera probe state: camera_probe_finished
2026-06-03 12:52:04 | INFO | mocap_app.workers.capture_worker | Live capture stopped.
2026-06-03 12:52:06 | INFO | mocap_app.workers.capture_worker | Live capture started with 1 source(s).
2026-06-03 12:52:19 | INFO | mocap_app.workers.capture_worker | Live capture stopped.
2026-06-03 12:52:31 | INFO | mocap_app.ui.main_window | Camera probe state: camera_probe_started
2026-06-03 12:52:37 | INFO | mocap_app.ui.main_window | Camera probe state: camera_probe_finished
2026-06-03 12:52:51 | INFO | mocap_app.workers.capture_worker | Live capture started with 1 source(s).
2026-06-03 12:53:00 | INFO | mocap_app.workers.capture_worker | Live capture stopped.
